meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,lap_time
1262,9964,1,1,2025-05-30T11:33:30.589000+00:00,,42.104,26.743,192.0,145,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",228.0,N/A
1262,9964,1,2,2025-05-30T11:35:07.746000+00:00,22.782,30.53,23.49,284.0,291,False,76.802,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]","[2049, 2049, 2049, 2049, 2049, 2049]",323.0,1:16.802
1262,9964,1,3,2025-05-30T11:36:24.471000+00:00,50.693,57.385,26.915,106.0,191,False,134.993,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2049]",108.0,2:14.993
1262,9964,1,4,2025-05-30T11:38:39.617000+00:00,22.27,30.384,23.151,288.0,306,False,75.805,"[2049, 2049, 2049, 2049, 2051, 2049, 2051]","[2049, 2051, 2048, 2049, 2049, 2049, 2051, 2051]","[2049, 2049, 2049, 2049, 2049, 2049]",323.0,1:15.805
1262,9964,1,5,2025-05-30T11:39:55.293000+00:00,44.629,56.076,40.522,130.0,155,False,141.227,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064]",119.0,2:21.227
1262,9964,1,6,2025-05-30T11:42:30.339000+00:00,51.475,48.21,32.733,140.0,234,True,132.418,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",147.0,2:12.418
1262,9964,1,7,2025-05-30T11:44:29.006000+00:00,22.126,30.419,22.971,289.0,306,False,75.516,"[2049, 2049, 2049, 2049, 2048, 2051, 2051]","[2048, 2048, 2048, 2048, 2048, 2051, 2051, 2051]","[2049, 2049, 2048, 2048, 2051, 2051]",325.0,1:15.516
1262,9964,1,8,2025-05-30T11:45:44.521000+00:00,26.448,38.052,28.49,140.0,223,False,92.99,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064]",271.0,1:32.990
1262,9964,1,9,2025-05-30T11:59:43.513000+00:00,,45.992,26.374,146.0,243,True,,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",218.0,N/A
1262,9964,1,10,2025-05-30T12:01:33.630000+00:00,21.924,29.685,22.476,288.0,311,False,74.085,"[2049, 2048, 2051, 2051, 2051, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2051]","[2049, 2049, 2049, 2048, 2051, 2051]",323.0,1:14.085
1262,9964,1,11,2025-05-30T12:02:47.730000+00:00,32.189,39.319,34.148,192.0,203,False,105.656,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064]",140.0,1:45.656
1262,9964,1,12,2025-05-30T12:24:25.466000+00:00,,33.416,26.619,255.0,164,True,,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",239.0,N/A
1262,9964,1,13,2025-05-30T12:26:00.784000+00:00,23.922,32.115,23.88,262.0,259,False,79.917,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",301.0,1:19.917
1262,9964,1,14,2025-05-30T12:27:20.619000+00:00,23.793,32.022,23.781,265.0,274,False,79.596,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",305.0,1:19.596
1262,9964,1,15,2025-05-30T12:28:40.319000+00:00,23.719,31.936,23.853,264.0,279,False,79.508,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",307.0,1:19.508
1262,9964,1,16,2025-05-30T12:29:59.862000+00:00,23.414,32.192,24.13,272.0,281,False,79.736,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",309.0,1:19.736
1262,9964,1,17,2025-05-30T12:31:19.530000+00:00,36.889,66.555,55.677,106.0,99,False,159.121,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",182.0,2:39.121
1262,9964,1,18,2025-05-30T12:33:58.748000+00:00,48.356,32.83,28.335,247.0,248,False,109.521,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064]",277.0,1:49.521
1262,9964,4,1,2025-05-30T11:30:46.611000+00:00,,37.185,28.656,226.0,234,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051]",200.0,N/A
1262,9964,4,2,2025-05-30T11:32:27.048000+00:00,22.567,30.494,23.034,278.0,287,False,76.095,"[2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2051, 2051, 2051, 2051, 2051, 2051]",317.0,1:16.095
1262,9964,4,3,2025-05-30T11:33:43.231000+00:00,29.696,55.689,34.239,162.0,114,False,119.624,"[2051, 2051, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",326.0,1:59.624
