meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,lap_time
1261,9973,1,1,2025-05-23T15:01:14.593000+00:00,28.119,43.001,22.147,166.0,171.0,True,93.267,"[2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",263.0,1:33.267
1261,9973,1,2,2025-05-23T15:02:47.279000+00:00,20.586,37.825,22.66,192.0,181.0,False,81.071,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049]",272.0,1:21.071
1261,9973,1,3,2025-05-23T15:04:08.332000+00:00,19.063,34.617,19.242,212.0,198.0,False,72.922,"[2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2051, 2051, 0]",277.0,1:12.922
1261,9973,1,4,2025-05-23T15:05:21.148000+00:00,25.776,56.764,,120.0,120.0,False,,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0]",162.0,N/A
1261,9973,1,5,2025-05-23T15:14:46.719000+00:00,26.676,39.969,22.943,169.0,176.0,True,89.588,"[2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",263.0,1:29.588
1261,9973,1,6,2025-05-23T15:16:15.676000+00:00,20.996,40.907,26.941,194.0,182.0,False,88.844,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",270.0,1:28.844
1261,9973,1,7,2025-05-23T15:17:44.501000+00:00,18.923,34.555,,214.0,199.0,False,,"[2049, 2049, 2049, 2051, 2048, 2049]","[2048, 2049, 2049, 2049, 2048, 2048, 2048, 2049, 2049, 2049]","[0, 0, 0, 0, 0]",277.0,N/A
1261,9973,1,8,2025-05-23T15:25:39.905000+00:00,35.145,39.003,25.011,184.0,161.0,True,99.159,"[2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",269.0,1:39.159
1261,9973,1,9,2025-05-23T15:27:15.936000+00:00,20.543,40.403,20.805,185.0,168.0,False,81.751,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049]",261.0,1:21.751
1261,9973,1,10,2025-05-23T15:28:37.655000+00:00,21.279,44.261,28.786,109.0,140.0,False,94.326,"[2049, 2049, 2049, 2051, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",206.0,1:34.326
1261,9973,1,11,2025-05-23T15:30:11.903000+00:00,19.016,34.286,19.369,214.0,203.0,False,72.671,"[2048, 2048, 2048, 2051, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2051]","[2049, 2049, 2048, 2048, 0]",276.0,1:12.671
1261,9973,1,12,2025-05-23T15:31:24.536000+00:00,28.33,48.27,38.495,133.0,133.0,False,115.095,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2064, 2064]",185.0,1:55.095
1261,9973,1,13,2025-05-23T15:33:20.312000+00:00,29.486,51.933,21.099,94.0,147.0,True,102.518,"[2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",209.0,1:42.518
1261,9973,1,14,2025-05-23T15:35:02.232000+00:00,18.845,34.257,19.049,219.0,204.0,False,72.151,"[2048, 2048, 2048, 2051, 2048, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2049]","[2049, 2049, 2049, 2049, 2048]",276.0,1:12.151
1261,9973,1,15,2025-05-23T15:36:14.433000+00:00,27.84,50.517,29.641,102.0,148.0,False,107.998,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",201.0,1:47.998
1261,9973,1,16,2025-05-23T15:38:02.487000+00:00,18.807,34.227,19.034,215.0,204.0,False,72.068,"[None, 2049, 2048, 2048, 2049, 2048]","[2049, 2048, 2049, 2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2049, 2049, 2049, 2048, 2048]",277.0,1:12.068
1261,9973,1,17,2025-05-23T15:39:14.508000+00:00,20.498,41.504,,186.0,166.0,False,,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[0, 0, 0, 0, 0]",255.0,N/A
1261,9973,1,18,2025-05-23T15:46:02.951000+00:00,26.048,41.019,30.021,180.0,173.0,True,97.088,"[2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",265.0,1:37.088
1261,9973,1,19,2025-05-23T15:47:39.552000+00:00,20.978,36.923,20.686,186.0,178.0,False,78.587,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",252.0,1:18.587
1261,9973,1,20,2025-05-23T15:48:58.146000+00:00,20.854,38.946,20.75,199.0,177.0,False,80.55,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",249.0,1:20.550
1261,9973,1,21,2025-05-23T15:50:18.709000+00:00,20.727,36.073,20.384,195.0,172.0,False,77.184,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",255.0,1:17.184
1261,9973,1,22,2025-05-23T15:51:35.928000+00:00,20.672,88.848,26.242,198.0,186.0,False,135.762,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",247.0,2:15.762
1261,9973,1,23,2025-05-23T15:53:51.635000+00:00,20.65,36.502,20.495,195.0,180.0,False,77.647,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",250.0,1:17.647
1261,9973,1,24,2025-05-23T15:55:09.245000+00:00,20.415,35.635,19.985,202.0,194.0,False,76.035,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",264.0,1:16.035
1261,9973,1,25,2025-05-23T15:56:25.337000+00:00,19.857,35.62,19.811,205.0,194.0,False,75.288,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",258.0,1:15.288
1261,9973,1,26,2025-05-23T15:57:40.665000+00:00,19.543,35.122,19.749,207.0,194.0,False,74.414,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",272.0,1:14.414
