meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,lap_time
1257,10009,4,5,2025-04-12T12:55:11.159000+00:00,30.017,40.46,23.444,238.0,269.0,False,93.921,"[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049, 2048, 2049]","[2048, 2051, 2048, 2049, 2048, 2048, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2049, 2048, 2048, 2048]",310.0,1:33.921
1257,10009,4,6,2025-04-12T12:56:44.964000+00:00,36.68,41.649,23.622,222.0,243.0,False,101.951,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2049]",178.0,1:41.951
1257,10009,4,7,2025-04-12T12:58:26.974000+00:00,30.589,41.787,23.657,237.0,242.0,False,96.033,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048]",299.0,1:36.033
1257,10009,4,8,2025-04-12T13:00:03.032000+00:00,30.855,66.283,37.679,238.0,129.0,False,134.817,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",296.0,2:14.817
1257,10009,4,9,2025-04-12T13:02:17.765000+00:00,45.829,43.316,24.424,202.0,267.0,False,113.569,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",172.0,1:53.569
1257,10009,4,10,2025-04-12T13:04:11.317000+00:00,33.531,44.354,30.584,216.0,197.0,False,108.469,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",239.0,1:48.469
1257,10009,4,11,2025-04-12T13:15:21.108000+00:00,,62.038,31.781,150.0,175.0,True,,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",125.0,N/A
1257,10009,4,12,2025-04-12T13:17:38.893000+00:00,29.951,46.918,44.721,234.0,144.0,False,121.59,"[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049, 2048, 2048]","[2049, 2048, 2049, 2049, 2049, 2051, 2051, 2049, 0, 0, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",315.0,2:01.590
1257,10009,4,13,2025-04-12T13:20:06.813000+00:00,69.6,63.675,28.503,137.0,154.0,True,161.778,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]",104.0,2:41.778
1257,10009,4,14,2025-04-12T13:22:22.276000+00:00,29.392,39.78,23.142,242.0,273.0,False,92.314,"[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2049, 2049, 2051]","[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2051, 2049, 2049]","[2048, 2049, 2049, 2049, 2049, 2048, 2048]",313.0,1:32.314
1257,10009,4,15,2025-04-12T13:23:54.513000+00:00,37.849,53.326,32.988,155.0,158.0,False,124.163,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",239.0,2:04.163
1257,10009,4,16,2025-04-12T13:29:32.411000+00:00,,53.22,28.527,76.0,175.0,True,,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",135.0,N/A
1257,10009,4,17,2025-04-12T13:31:34.634000+00:00,38.204,51.46,34.254,181.0,198.0,False,123.918,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",200.0,2:03.918
1257,10009,4,18,2025-04-12T13:33:38.475000+00:00,64.126,50.23,32.56,177.0,182.0,False,146.916,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",235.0,2:26.916
1257,10009,5,1,2025-04-12T12:43:41.830000+00:00,,55.951,27.455,203.0,146.0,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",91.0,N/A
1257,10009,5,2,2025-04-12T12:45:49.209000+00:00,29.772,44.885,23.921,239.0,238.0,False,98.578,"[2049, 2051, 2051, 2049, 2049, 2051, 2051, 2051, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051, 0, 0, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2049]",319.0,1:38.578
1257,10009,5,3,2025-04-12T12:47:27.664000+00:00,42.887,57.629,36.401,152.0,167.0,False,136.917,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",158.0,2:16.917
1257,10009,5,4,2025-04-12T12:56:46.483000+00:00,,56.577,30.607,148.0,184.0,True,,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]",119.0,N/A
1257,10009,5,5,2025-04-12T12:58:55.433000+00:00,30.217,41.483,23.886,237.0,264.0,False,95.586,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 0]",314.0,1:35.586
1257,10009,5,6,2025-04-12T13:00:31.030000+00:00,47.807,89.108,35.18,119.0,90.0,False,172.095,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",197.0,2:52.095
1257,10009,5,7,2025-04-12T13:08:46.142000+00:00,,59.976,30.513,144.0,152.0,True,,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",176.0,N/A
1257,10009,5,8,2025-04-12T13:10:55.753000+00:00,29.897,40.816,23.805,240.0,275.0,False,94.518,"[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2051, 2049, 2051]","[2048, 2049, 2048, 2048, 2048, 2048, 2051, 2048, 2049, 2049, 2051]","[2049, 2048, 2048, 2049, 2048, 2048, 0]",319.0,1:34.518
1257,10009,5,9,2025-04-12T13:12:30.008000+00:00,46.596,67.604,38.764,140.0,161.0,False,152.964,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",190.0,2:32.964
1257,10009,5,10,2025-04-12T13:15:22.428000+00:00,69.184,65.235,39.138,122.0,151.0,True,173.557,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",111.0,2:53.557
1257,10009,5,11,2025-04-12T13:17:56.627000+00:00,30.24,41.295,26.373,237.0,269.0,False,97.908,"[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2064]",318.0,1:37.908
1257,10009,5,12,2025-04-12T13:23:15.290000+00:00,,43.535,26.398,232.0,255.0,True,,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",184.0,N/A
1257,10009,5,13,2025-04-12T13:25:34.041000+00:00,67.083,42.669,28.171,238.0,241.0,True,137.923,"[None, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",195.0,2:17.923
1257,10009,5,14,2025-04-12T13:27:52.353000+00:00,68.416,58.389,33.148,152.0,102.0,True,159.953,"[None, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",186.0,2:39.953
1257,10009,5,15,2025-04-12T13:30:11.679000+00:00,39.25,48.543,31.993,142.0,172.0,False,119.786,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",166.0,1:59.786
1257,10009,5,16,2025-04-12T13:32:11.471000+00:00,58.774,48.531,31.911,221.0,172.0,False,139.216,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",185.0,2:19.216
1257,10009,6,1,2025-04-12T12:53:29.282000+00:00,,59.596,33.423,138.0,164.0,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",126.0,N/A
1257,10009,6,2,2025-04-12T12:55:43.276000+00:00,30.027,41.09,23.728,235.0,271.0,False,94.845,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 0]",316.0,1:34.845
1257,10009,6,3,2025-04-12T12:57:17.945000+00:00,44.574,59.835,34.123,158.0,179.0,False,138.532,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",211.0,2:18.532
1257,10009,6,4,2025-04-12T13:03:15.948000+00:00,,63.451,28.567,166.0,100.0,True,,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",80.0,N/A
1257,10009,6,5,2025-04-12T13:05:35.163000+00:00,30.032,41.121,23.528,238.0,272.0,False,94.681,"[2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2049, 2049, 2049, 2048, 2049, 2049]","[2048, 2049, 2049, 2049, 2048, 2048, 0]",318.0,1:34.681
1257,10009,6,6,2025-04-12T13:07:09.726000+00:00,31.62,50.557,27.787,219.0,181.0,False,109.964,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",297.0,1:49.964
1257,10009,6,7,2025-04-12T13:09:22.143000+00:00,67.057,42.487,26.542,237.0,256.0,True,136.086,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2064]",205.0,2:16.086
1257,10009,6,8,2025-04-12T13:16:20.668000+00:00,,56.065,26.818,176.0,199.0,True,,"[None, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",69.0,N/A
1257,10009,6,9,2025-04-12T13:18:36.018000+00:00,29.504,40.299,23.22,239.0,273.0,False,93.023,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2048, 2048]",320.0,1:33.023
1257,10009,6,10,2025-04-12T13:20:08.900000+00:00,42.937,50.693,29.691,174.0,255.0,False,123.321,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",103.0,2:03.321
1257,10009,6,11,2025-04-12T13:25:14.136000+00:00,,43.67,26.583,231.0,259.0,True,,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",171.0,N/A
