meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,lap_time
1261,9974,1,1,2025-05-24T10:45:42.953000+00:00,24.467,38.845,27.608,187.0,189.0,True,90.92,"[2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",262.0,1:30.920
1261,9974,1,2,2025-05-24T10:47:13.412000+00:00,19.08,34.62,19.387,215.0,198.0,False,73.087,"[2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",276.0,1:13.087
1261,9974,1,3,2025-05-24T10:48:26.371000+00:00,29.307,55.93,24.89,127.0,123.0,False,110.127,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",185.0,1:50.127
1261,9974,1,4,2025-05-24T10:50:16.566000+00:00,18.971,34.418,27.088,217.0,199.0,False,80.477,"[2049, 2049, 2049, 2051, 2048, 2049]","[2049, 2049, 2049, 2048, 2048, 2049, 2048, 2049, 2049, 2051]","[2048, 2048, 2048, 2048, 2048]",277.0,1:20.477
1261,9974,1,5,2025-05-24T10:51:37.027000+00:00,29.509,50.456,21.255,91.0,166.0,False,101.22,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",151.0,1:41.220
1261,9974,1,6,2025-05-24T10:53:18.293000+00:00,18.725,34.208,19.028,219.0,203.0,False,71.961,"[2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2049]","[2049, 2049, 2049, 2051, 2049]",276.0,1:11.961
1261,9974,1,7,2025-05-24T10:54:30.149000+00:00,29.835,51.832,27.726,95.0,140.0,False,109.393,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",178.0,1:49.393
1261,9974,1,8,2025-05-24T10:56:19.690000+00:00,18.64,34.048,18.965,220.0,205.0,False,71.653,"[2049, 2049, 2048, 2048, 2051, 2049]","[2049, 2049, 2048, 2049, 2048, 2048, 2049, 2051, 2048, 2049]","[2049, 2049, 2049, 2051, 2049]",275.0,1:11.653
1261,9974,1,9,2025-05-24T10:57:31.262000+00:00,32.817,48.149,32.951,84.0,139.0,False,113.917,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",201.0,1:53.917
1261,9974,1,10,2025-05-24T10:59:25.267000+00:00,18.515,33.774,18.944,222.0,206.0,False,71.233,"[2049, 2049, 2049, 2051, 2048, 2051]","[2048, 2049, 2049, 2048, 2049, 2049, 2049, 2048, 2049, 2049]","[2049, 2049, 2048, 2048, 2049]",280.0,1:11.233
